ac_name,ac_no.,type,district,winning_candidate,party,total_electors,total_votes,poll_pct,margin,margin_pct
Alandur,28,GEN,Kancheepuram,T.M.Anbarasan,DMK,"363,029","235,863",65.00,"40,571",17.20
Alangudi,182,GEN,Pudukkottai,Siva.V.Meyyanathan,DMK,"203,445","171,140",84.10,"25,847",15.10
Alangulam,223,GEN,Tirunelveli,Paul Manoj Pandian,AIADMK,"252,558","201,692",79.90,"3,539",1.80
Ambasamudram,225,GEN,Tirunelveli,E.Subaya,AIADMK,"242,456","176,008",72.60,"16,915",9.60
Ambattur,8,GEN,Thiruvallur,Joseph Samuel,DMK,"361,656","237,941",65.80,"42,146",17.70
Ambur,48,GEN,Vellore,Vilwanathan.A.C,DMK,"225,328","176,461",78.30,"20,232",11.50
Anaikattu,44,GEN,Vellore,A.P.Nandakumar,DMK,"241,068","196,014",81.30,"6,360",3.20
Andipatti,198,GEN,Theni,A.Maharajan,DMK,"264,498","208,207",78.70,"8,538",4.10
Anna Nagar,21,GEN,Chennai,M.K. Mohan,DMK,"274,067","163,551",59.70,"27,445",16.80
Anthiyur,105,GEN,Erode,Venkatachalam.A.G,DMK,"213,651","175,358",82.10,"1,275",0.70
Arakkonam,38,SC,Vellore,S.Ravi,AIADMK,"216,909","169,756",78.30,"27,169",16.00
Arani,67,GEN,Tiruvannamalai,S.Ramachandran,AIADMK,"264,335","219,732",83.10,"3,128",1.40
Aranthangi,183,GEN,Pudukkottai,Ramachandran T,INC,"222,766","167,524",75.20,"30,893",18.40
Aravakurichi,134,GEN,Karur,Elango. R,DMK,"205,295","176,245",85.80,"24,816",14.10
Arcot,42,GEN,Vellore,J.L.Eswarappan,DMK,"251,362","207,538",82.60,"19,958",9.60
Ariyalur,149,GEN,Perambalur,Chinnappa K,DMK,"254,281","223,839",88.00,"3,234",1.40
Aruppukkottai,207,GEN,Virudhunagar,K.K.S.S.R.Ramachandran,DMK,"214,554","169,878",79.20,"39,034",23.00
Athoor,129,GEN,Dindigul,Periyasamy I,DMK,"279,399","228,376",81.70,"135,571",59.40
Attur,82,SC,Salem,"Jayasankaran, A.P.",AIADMK,"243,631","197,909",81.20,"8,257",4.20
Avadi,6,GEN,Thiruvallur,Nasar S M,DMK,"409,701","298,546",72.90,"55,275",18.50
