ac_no.,ac_name,type,district,winning_candidate,party,total_elector,total_votes,poll_pct,margin,margin_pct
28,Alandur,GEN,Kancheepuram,M.Harish,TVK,301055,260307,86.5,29609,11.4
182,Alangudi,GEN,Pudukkottai,Siva.V.Meyyanathan,DMK,212078,179810,84.8,12977,7.2
223,Alangulam,GEN,Tenkasi,Paul Manoj Pandian,DMK,255457,219875,86.1,7798,3.5
225,Ambasamudram,GEN,Tirunelveli,Dr.Esakki Subaya,AIADMK,227878,190135,83.4,10245,5.4
8,Ambattur,GEN,Thiruvallur,Balamurugan.G,TVK,337019,258496,76.7,58781,22.7
48,Ambur,GEN,Tirupathur,Vilwanathan. A.C.,DMK,214469,195116,91,7131,3.7
44,Anaikattu,GEN,Vellore,D.Velazhagan,AIADMK,238715,215215,90.2,7081,3.3
198,Andipatti,GEN,Theni,Maharajan.A,DMK,256529,216301,84.3,9554,4.4
21,Anna Nagar,GEN,Chennai,V.K.Ramkumar,TVK,188861,162376,86,21363,13.2
105,Anthiyur,GEN,Erode,Haribaskar.P,AIADMK,207355,185021,89.2,1260,0.7
38,Arakkonam,SC,Ranipet,V. Gandhiraj,TVK,200773,181441,90.4,23121,12.7
67,Arani,GEN,Tiruvannamalai,Jayasudha. L,AIADMK,254963,229455,90,5631,2.5
183,Aranthangi,GEN,Pudukkottai,Mohamed Farvas. J,TVK,229792,182150,79.3,10062,5.5
134,Aravakurichi,GEN,Karur,Elango. R,DMK,195517,180441,92.3,19382,10.7
42,Arcot,GEN,Ranipet,S.M.Sukumar,AIADMK,245319,225130,91.8,42720,19
149,Ariyalur,GEN,Ariyalur,Rajendran S,AIADMK,262942,235217,89.5,24498,10.4
207,Aruppukkottai,GEN,Virudhunagar,Ramachandran. K.K.S.S.R,DMK,207750,177721,85.5,4943,2.8
129,Athoor,GEN,Dindigul,I. Periasamy,DMK,261843,236371,90.3,22368,9.5
82,Attur,SC,Salem,Jayasankaran. A.P.,AIADMK,228153,207265,90.8,15318,7.4
6,Avadi,GEN,Thiruvallur,R.Ramesh Kumar,TVK,436177,344472,79,76311,22.2
112,Avanashi,SC,Tiruppur,Kamali.S,TVK,253361,230037,90.8,15373,6.7
52,Bargur,GEN,Krishnagiri,E.C. Govindarasan,AIADMK,239318,213329,89.1,4241,2
104,Bhavani,GEN,Erode,Karuppanan. K.C,AIADMK,223172,206914,92.7,7396,3.6
107,Bhavanisagar,SC,Erode,V.P.Tamilselvi,TVK,237613,212791,89.6,4569,2.1
157,Bhuvanagiri,GEN,Cuddalore,Arunmozhithevan . A,AIADMK,233259,206629,88.6,2487,1.2
200,Bodinayakanur,GEN,Theni,Panneerselvam.O,DMK,263292,219697,83.4,6805,3.1
32,Chengalpattu,GEN,Chengalpattu,S. Thiyagarajan,TVK,372839,322615,86.5,35641,11
62,Chengam,SC,Tiruvannamalai,S.Velu,AIADMK,268997,241783,89.9,13278,5.5
19,Chepauk-Thiruvallikeni,GEN,Chennai,Udhayanidhi Stalin,DMK,166023,140098,84.4,7140,5.1
68,Cheyyar,GEN,Tiruvannamalai,Mukkur N. Subramanian,AIADMK,239856,221620,92.4,21081,9.5
34,Cheyyur,SC,Chengalpattu,Rajasekar. E,AIADMK,203998,186801,91.6,5668,3
158,Chidambaram,GEN,Cuddalore,Thamimun Ansari. M,DMK,231236,195770,84.7,5747,2.9
118,Coimbatore (North),GEN,Coimbatore,V. Sampathkumar,TVK,296939,225089,75.8,21992,9.8
120,Coimbatore (South),GEN,Coimbatore,V Senthilbalaji,DMK,188878,155740,82.5,2271,1.5
231,Colachal,GEN,Kanniyakumari,Tharahai Cuthbert,INC,265015,198432,74.9,2833,1.4
110,Coonoor,GEN,The Nilgiris,M. Raju,DMK,177782,140674,79.1,8099,5.8
155,Cuddalore,GEN,Cuddalore,B.Rajkumar,TVK,223149,189484,84.9,15519,8.2
201,Cumbum,GEN,Theni,Jeganathmishra Pla,TVK,255888,209907,82,751,0.4
101,Dharapuram,SC,Tiruppur,Sathyabama.P,AIADMK,222406,198886,89.4,16727,8.4
59,Dharmapuri,GEN,Dharmapuri,Sowmiya Anbumani,PMK,260751,237638,91.1,20896,8.8
132,Dindigul,GEN,Dindigul,Senthilkumar. I.P,DMK,241926,211191,87.3,1131,0.5
11,Dr.Radhakrishnan Nagar,GEN,Chennai,N. Marie Wilson,TVK,199359,180645,90.6,49668,27.5
86,Edappadi,GEN,Salem,Edappadi Palaniswami. K,AIADMK,276387,256922,93,98110,38.2
16,Egmore,SC,Chennai,Rajmohan,TVK,138775,119043,85.8,10804,9.1
98,Erode (East),GEN,Erode,M.Vijay Balaji,TVK,179566,161574,90,23966,14.8
99,Erode (West),GEN,Erode,Ananth Moghan K.K.,TVK,250177,220143,88,22250,10.1
178,Gandarvakkottai,SC,Pudukkottai,N. Subramanian,TVK,196024,166491,84.9,11039,6.6
81,Gangavalli,SC,Salem,Nallathambi. A,AIADMK,218317,195948,89.8,14404,7.4
70,Gingee,GEN,Viluppuram,Ganeshkumar A,PMK,242667,216144,89.1,12645,5.9
106,Gobichettipalayam,GEN,Erode,Sengottaiyan.K.A,TVK,239179,218820,91.5,16620,7.6
109,Gudalur,SC,The Nilgiris,Dhravidamani.M,DMK,185398,150370,81.1,22833,15.2
46,Gudiyattam,SC,Vellore,K.Sindu,TVK,251588,228277,90.7,10097,4.4
1,Gummidipoondi,GEN,Thiruvallur,S.Vijayakumar,TVK,254129,231585,91.1,27945,12.1
18,Harbour,GEN,Chennai,P K Sekarbabu,DMK,120126,99022,82.4,11750,11.9
61,Harur,SC,Dharmapuri,Sampathkumar. V,AIADMK,245692,219260,89.2,3329,1.5
55,Hosur,GEN,Krishnagiri,Balakrishnareddy. P,AIADMK,342989,276156,80.5,27803,10.1
150,Jayankondam,GEN,Ariyalur,Vaithilingam G.,PMK,263450,228132,86.6,18490,8.1
49,Jolarpet,GEN,Tirupathur,Veeramani K.C.,AIADMK,236127,212347,89.9,16083,7.6
221,Kadayanallur,GEN,Tenkasi,Rajendran. T. M,DMK,269220,221424,82.2,6253,2.8
65,Kalasapakkam,GEN,Tiruvannamalai,Agri Krishnamurthy. S S,AIADMK,232847,213704,91.8,26740,12.5
80,Kallakurichi,SC,Kallakurichi,Arul Vignesh C,TVK,281582,248743,88.3,798,0.3
37,Kancheepuram,GEN,Kancheepuram,R.V. Ranjithkumar,TVK,278775,245239,88,15488,6.3
102,Kangayam,GEN,Tiruppur,Nsn Nataraj,AIADMK,219553,202828,92.4,8133,4
229,Kanniyakumari,GEN,Kanniyakumari,Thalavai Sundaram. N,AIADMK,288867,238325,82.5,214,0.1
184,Karaikudi,GEN,Sivaganga,Dr.Prabhu. Tk,TVK,305925,228748,74.8,46074,20.1
135,Karur,GEN,Karur,M.R. Vijayabhaskar,AIADMK,229995,216290,94,1821,0.8
40,Katpadi,GEN,Vellore,Dr M Sudhakar,TVK,228736,202752,88.6,5870,2.9
159,Kattumannarkoil,SC,Cuddalore,L.E. Jothimani,VCK,226333,187440,82.8,33063,17.6
117,Kavundampalayam,GEN,Coimbatore,Kanimozhi Santhosh,TVK,422138,361875,85.7,42140,11.6
234,Killiyoor,GEN,Kanniyakumari,Rajesh Kumar. S,INC,245359,177032,72.2,1311,0.7
64,Kilpennathur,GEN,Tiruvannamalai,Ramachandran.S,AIADMK,240823,219350,91.1,30465,13.9
45,Kilvaithinankuppam,SC,Vellore,Thenral Kumar. E,TVK,215304,188920,87.7,20255,10.7
164,Kilvelur,SC,Nagapattinam,Latha. T,CPI(M),170558,151092,88.6,2278,1.5
122,Kinathukadavu,GEN,Coimbatore,Vignesh K,TVK,305878,266200,87,11710,4.4
13,Kolathur,GEN,Chennai,V. S. Babu,TVK,211772,183159,86.5,8795,4.8
218,Kovilpatti,GEN,Thoothukudi,Karunanithi.K,DMK,241660,193639,80.1,843,0.4
53,Krishnagiri,GEN,Krishnagiri,Mukundhan.P,TVK,267366,229045,85.7,18844,8.2
136,Krishnarayapuram,SC,Karur,Sathya. M,TVK,202994,188832,93,3503,1.9
137,Kulithalai,GEN,Karur,Suriyanur. A. Chandran,DMK,223184,208479,93.4,579,0.3
97,Kumarapalayam,GEN,Namakkal,C.Vijayalakshmi,TVK,220048,204659,93,7696,3.8
171,Kumbakonam,GEN,Thanjavur,Vinoth,TVK,254318,207328,81.5,679,0.3
148,Kunnam,GEN,Perambalur,Sivasankar. S.S,DMK,268095,230086,85.8,15557,6.8
156,Kurinjipadi,GEN,Cuddalore,M.R.K.Panneerselvam,DMK,238189,213336,89.6,7589,3.6
143,Lalgudi,GEN,Tiruchirappalli,Leemarose Martin,AIADMK,212177,184823,87.1,2739,1.5
126,Madathukulam,GEN,Tiruppur,R Jayaramakrishnan,DMK,214809,187338,87.2,15968,8.5
9,Madavaram,GEN,Thiruvallur,M.L.Vijayprabhu,TVK,431796,360604,83.5,94985,26.3
193,Madurai Central,GEN,Madurai,Madhar Badhurudeen,TVK,199618,147930,74.1,19128,12.9
189,Madurai East,GEN,Madurai,Karthikeyan S,TVK,336527,270389,80.3,16547,6.1
191,Madurai North,GEN,Madurai,A.Kallanai,TVK,221174,161048,72.8,18038,11.2
192,Madurai South,GEN,Madurai,M.M.Gopison,TVK,179919,140891,78.3,21529,15.3
194,Madurai West,GEN,Madurai,Thangapandi Sr,TVK,275516,215510,78.2,11931,5.5
35,Madurantakam,SC,Chengalpattu,Maragatham Kumaravel.K,AIADMK,212639,197454,92.9,7194,3.6
7,Maduravoyal,GEN,Thiruvallur,Rhevanth Charan,TVK,373283,292230,78.3,61509,21
71,Mailam,GEN,Viluppuram,Shanmugam C Ve,AIADMK,209016,188922,90.4,30041,15.9
144,Manachanallur,GEN,Tiruchirappalli,Kathiravan. S,DMK,236500,209181,88.4,12364,5.9
187,Manamadurai,SC,Sivaganga,Elangovan.D,TVK,259382,207797,80.1,1208,0.6
138,Manapparai,GEN,Tiruchirappalli,R. Kathiravan,TVK,267999,240267,89.7,1426,0.6
167,Mannargudi,GEN,Thiruvarur,Kamaraj. S,AMMK,234430,193695,82.6,1566,0.8
161,Mayiladuthurai,GEN,Mayiladuthurai,Jamal Mohamed Younoos. Y.N,INC,234554,187987,80.1,10845,5.8
188,Melur,GEN,Madurai,P.Viswanathan,INC,229821,190172,82.7,2724,1.4
111,Mettuppalayam,GEN,Coimbatore,Sunilanand,TVK,282179,243480,86.3,7768,3.2
85,Mettur,GEN,Salem,Venkatachalam. G,AIADMK,255665,230311,90.1,19105,8.3
100,Modakkurichi,GEN,Erode,D.Shanmugan,TVK,207664,189834,91.4,2430,1.3
212,Mudhukulathur,GEN,Ramanathapuram,R.S.Rajakannappan,DMK,298958,230944,77.2,16598,7.2
145,Musiri,GEN,Tiruchirappalli,M.Vignesh,TVK,214006,188048,87.9,17442,9.3
25,Mylapore,GEN,Chennai,Venkataramanan. P,TVK,199465,149824,75.1,28972,19.3
163,Nagapattinam,GEN,Nagapattinam,M.H.Jawahirullah,DMK,174683,150847,86.4,9781,6.5
230,Nagercoil,GEN,Kanniyakumari,Austin,DMK,258928,195833,75.6,7570,3.9
94,Namakkal,GEN,Namakkal,Dilip C S,TVK,237836,211523,88.9,11008,5.2
227,Nanguneri,GEN,Tirunelveli,Reddiarpatti V. Narayanan,TVK,257177,208698,81.1,16419,7.9
169,Nannilam,GEN,Thiruvarur,Kamaraj. R,AIADMK,267432,230508,86.2,41724,18.1
131,Natham,GEN,Dindigul,Natham Viswanathan R,AIADMK,261152,238544,91.3,11869,5
153,Neyveli,GEN,Cuddalore,Rajendran.R,AIADMK,191271,168012,87.8,10962,6.5
130,Nilakkottai,SC,Dindigul,Ayyanar.R,TVK,221094,196951,89.1,2925,1.5
